match_id,player_id,placement,mode,length,traits,units
1,1851,2,Ranked,00:37:45,"['4 Mystic', '1 Alchemist', '3 Electric', '2 Warden']","['Ornn', 'Volibear', 'Soraka', 'Karma', 'Janna', 'Nami', 'Singed', 'Taric', 'Zed']"
2,1851,2,Ranked,00:36:58,"['3 Electric', '3 Berserker', '3 Summoner', '2 Desert', '2 Mystic']","['Ornn', 'Volibear', 'Azir', 'Soraka', 'Khazix', 'Yorick', 'Master Yi', 'Zed']"
3,1851,2,Ranked,00:32:21,"['3 Poison', '1 Alchemist', '4 Ranger', '2 Crystal', '2 Glacial', '2 Warden']","['Braum', 'Dr. Mundo', 'Ezreal', 'Kindred', 'Ashe', 'Twitch', 'Singed', 'Taric']"
4,1851,5,Ranked,00:30:19,"['2 Mountain', '4 Assassin', '3 Summoner', '2 Desert', '2 Electric', '2 Glacial']","['Volibear', 'Ezreal', 'Azir', 'Qiyana', 'Annie', 'Khazix', 'Malphite', 'Zed']"
5,1851,2,Ranked,00:35:25,"['1 Alchemist', '3 Electric', '3 Summoner', '2 Desert', '2 Warden']","['Ornn', 'Volibear', 'Azir', 'Khazix', 'Malphite', 'Yorick', 'Singed', 'Zed']"
6,1851,5,Ranked,00:27:41,"['4 Ranger', '3 Glacial', '2 Crystal', '2 Warden']","['Braum', 'Ezreal', 'Kindred', 'Twitch', 'Ashe', 'Taric', 'Taric']"
7,1851,1,Ranked,00:34:29,"['4 Crystal', '3 Poison', '1 Alchemist', '1 Avatar', '4 Ranger', '2 Glacial', '2 Warden']","['Braum', 'Dr. Mundo', 'Ezreal', 'Karma', 'Kindred', 'Ashe', 'Twitch', 'Singed', 'Taric', 'Lux']"
8,1851,8,Ranked,00:16:11,[],"['Diana', 'Jax', 'Nocturne']"
9,1851,8,Ranked,00:24:51,"['1 Alchemist', '3 Summoner', '3 Warden', '2 Electric']","['Ornn', 'Volibear', 'Nautilus', 'Azir', 'Yorick', 'Annie', 'Taric', 'Singed']"
10,1851,1,Normal,00:34:00,"['4 Crystal', '3 Poison', '3 Predator', '1 Alchemist', '1 Avatar', '2 Steel']","[""Kog'Maw"", ""Rek'Sai"", 'Skarner', 'Nocturne', 'Dr. Mundo', 'Ashe', 'Singed', 'Lux']"
11,1622,2,Ranked,00:32:39,"['3 Poison', '1 Alchemist', '4 Ranger', '2 Crystal', '2 Glacial', '2 Warden']","['Braum', 'Dr. Mundo', 'Ezreal', 'Kindred', 'Ashe', 'Twitch', 'Singed', 'Taric', 'Taric']"
12,1622,6,Ranked,00:27:48,"['6 Light', '2 Mystic']","['Nasus', 'Jax', 'Aatrox', 'Karma', 'Soraka', 'Yorick', 'Lucian']"
13,1622,1,Ranked,00:33:46,"['1 Alchemist', '6 Light', '2 Mystic', '2 Warden']","['Nasus', 'Jax', 'Aatrox', 'Karma', 'Soraka', 'Lucian', 'Yorick', 'Singed', 'Taric']"
14,1622,6,Ranked,00:27:43,"['3 Poison', '1 Alchemist', '4 Ranger', '2 Glacial', '2 Warden']","['Braum', 'Dr. Mundo', 'Ezreal', 'Kindred', 'Ashe', 'Malphite', 'Twitch', 'Singed']"
15,1622,4,Ranked,00:28:19,"['3 Poison', '4 Ranger', '2 Crystal', '2 Warden']","[""Kog'Maw"", 'Braum', 'Varus', 'Dr. Mundo', 'Kindred', 'Ashe', 'Twitch', 'Taric']"
16,1622,2,Ranked,00:31:20,"['4 Desert', '3 Mystic', '3 Blademaster', '2 Wind']","['Renekton', 'Yasuo', 'Azir', 'Karma', 'Sivir', 'Janna', 'Khazix', 'Master Yi']"
17,1622,4,Ranked,00:33:36,"['9 Light', '1 Avatar']","['Vayne', 'Nasus', 'Jax', 'Aatrox', 'Soraka', 'Lucian', 'Yorick', 'Lux']"
18,1622,5,Ranked,00:25:51,"['2 Lunar', '7 Light', '2 Mystic']","['Leona', 'Vayne', 'Jax', 'Aatrox', 'Karma', 'Soraka', 'Lucian', 'Yorick']"
19,1622,1,Ranked,00:35:36,"['3 Poison', '1 Alchemist', '4 Ranger', '2 Crystal', '2 Glacial', '2 Warden']","['Braum', 'Dr. Mundo', 'Ezreal', 'Kindred', 'Ashe', 'Twitch', 'Singed', 'Taric', 'Taric']"
20,1622,1,Ranked,00:33:03,"['3 Poison', '1 Alchemist', '4 Ranger', '4 Warden', '2 Crystal', '2 Glacial']","[""Kog'Maw"", 'Leona', 'Braum', 'Ezreal', 'Kindred', 'Ashe', 'Malphite', 'Twitch', 'Singed', 'Taric']"
21,310,3,Ranked,00:29:53,"['4 Mystic', '3 Assassin', '2 Desert', '2 Wind']","['Azir', 'Karma', 'Qiyana', 'Soraka', 'Janna', 'Khazix', 'Malphite', 'Nami']"
22,310,6,Ranked,00:29:10,"['4 Glacial', '4 Warden', '3 Berserker', '2 Electric']","['Ornn', 'Braum', 'Volibear', 'Dr. Mundo', 'Ezreal', 'Malphite', 'Olaf', 'Taric']"
23,310,2,Ranked,00:33:23,"['6 Mage', '6 Ocean', '1 Avatar']","['Taliyah', 'Vladimir', 'LeBlanc', 'Syndra', 'Nautilus', 'Veigar', 'Brand', 'Nami', 'Lux']"
24,310,7,Ranked,00:26:03,"['6 Shadow', '3 Inferno']","['Malzahar', 'Senna', 'Kindred', 'Sion', 'Veigar', 'Annie', 'Amumu', 'Master Yi']"
25,310,1,Ranked,00:34:35,"['3 Poison', '1 Alchemist', '1 Avatar', '3 Electric', '3 Ocean', '2 Mystic']","['Ornn', 'Volibear', 'Dr. Mundo', 'Karma', 'Twitch', 'Nami', 'Singed', 'Zed', 'Lux']"
26,310,5,Ranked,00:29:35,"['4 Warden', '4 Ranger', '3 Inferno', '2 Crystal', '2 Ocean']","['Varus', 'Thresh', 'Kindred', 'Nautilus', 'Ashe', 'Twitch', 'Amumu', 'Taric']"
